date (persian years),Tehran,Mashhad,Ahvaz,Isfahan
01-01-1403,58,106,51,77
02-01-1403,40,48,122,93
03-01-1403,59,79,85,106
04-01-1403,62,103,63,56
05-01-1403,57,86,92,60
06-01-1403,44,83,59,72
07-01-1403,50,48,127,44
08-01-1403,61,62,97,43
09-01-1403,50,77,88,54
10-01-1403,55,77,57,75
11-01-1403,57,52,68,134
12-01-1403,71,71,97,115
13-01-1403,56,60,88,79
14-01-1403,60,56,91,69
15-01-1403,69,72,112,70
16-01-1403,64,65,95,88
17-01-1403,73,69,94,100
18-01-1403,67,103,113,74
19-01-1403,69,121,113,191
20-01-1403,79,90,72,137
21-01-1403,74,82,95,73
22-01-1403,68,75,133,86
23-01-1403,67,69,117,63
24-01-1403,44,61,60,50
25-01-1403,53,31,76,37
26-01-1403,79,50,95,61
27-01-1403,95,55,84,77
28-01-1403,70,73,65,112
29-01-1403,67,59,71,55
30-01-1403,86,64,87,87
31-01-1403,72,76,91,95
01-02-1403,71,116,101,132
02-02-1403,73,97,121,82
03-02-1403,77,83,121,66
04-02-1403,77,77,77,73
05-02-1403,79,80,64,78
06-02-1403,81,78,76,86
07-02-1403,90,59,73,86
08-02-1403,81,63,92,77
09-02-1403,72,76,104,74
10-02-1403,75,61,492,80
11-02-1403,76,62,146,81
12-02-1403,63,62,107,63
13-02-1403,58,60,78,94
14-02-1403,55,77,54,59
15-02-1403,54,106,61,39
16-02-1403,52,63,102,57
17-02-1403,64,85,98,69
18-02-1403,64,72,87,83
19-02-1403,59,84,79,85
20-02-1403,62,78,57,56
21-02-1403,55,32,89,57
22-02-1403,84,60,83,72
23-02-1403,79,58,91,117
24-02-1403,68,97,85,95
25-02-1403,66,97,126,89
26-02-1403,72,120,117,102
27-02-1403,79,105,93,69
28-02-1403,54,86,108,66
29-02-1403,64,54,198,78
30-02-1403,53,51,134,53
31-02-1403,72,59,113,81
01-03-1403,70,65,129,69
02-03-1403,72,65,162,69
03-03-1403,77,64,141,78
04-03-1403,66,76,157,88
05-03-1403,64,54,137,87
06-03-1403,78,50,132,139
07-03-1403,67,73,77,107
08-03-1403,73,77,89,75
09-03-1403,84,82,104,140
10-03-1403,101,87,115,167
11-03-1403,138,71,117,184
12-03-1403,105,69,126,168
13-03-1403,87,66,86,76
14-03-1403,83,81,102,142
15-03-1403,138,103,106,222
16-03-1403,144,77,100,181
17-03-1403,98,72,90,171
18-03-1403,81,60,106,138
19-03-1403,93,58,148,203
20-03-1403,88,67,159,153
21-03-1403,80,75,154,160
22-03-1403,93,78,142,138
23-03-1403,85,87,146,109
24-03-1403,121,78,96,86
25-03-1403,124,77,105,190
26-03-1403,133,70,130,140
27-03-1403,116,69,127,196
28-03-1403,106,73,148,195
29-03-1403,73,74,121,213
30-03-1403,156,64,104,201
31-03-1403,84,94,127,151
01-04-1403,111,87,116,175
02-04-1403,93,82,109,200
03-04-1403,121,84,113,177
04-04-1403,81,88,125,243
05-04-1403,89,70,101,142
06-04-1403,84,92,80,99
07-04-1403,86,76,86,170
08-04-1403,96,115,105,153
09-04-1403,94,101,144,120
10-04-1403,123,82,116,146
11-04-1403,115,74,105,150
12-04-1403,116,68,96,148
13-04-1403,104,68,88,100
14-04-1403,108,87,81,90
15-04-1403,137,98,85,136
16-04-1403,111,82,128,129
17-04-1403,78,93,144,110
18-04-1403,74,72,88,107
19-04-1403,77,99,86,108
20-04-1403,89,99,75,95
21-04-1403,96,85,87,133
22-04-1403,99,93,96,137
23-04-1403,92,95,95,151
24-04-1403,109,92,103,124
25-04-1403,111,110,118,220
26-04-1403,136,94,88,169
27-04-1403,123,78,99,180
28-04-1403,122,69,83,160
29-04-1403,98,73,82,153
30-04-1403,79,66,81,138
31-04-1403,79,67,79,179
01-05-1403,86,75,76,205
02-05-1403,119,85,86,154
03-05-1403,114,98,96,178
04-05-1403,98,84,95,132
05-05-1403,93,112,126,179
06-05-1403,105,113,113,169
07-05-1403,171,88,82,124
08-05-1403,139,88,99,154
09-05-1403,130,140,123,150
10-05-1403,133,80,148,152
11-05-1403,140,91,91,141
12-05-1403,128,93,79,193
13-05-1403,109,86,99,182
14-05-1403,126,74,97,125
15-05-1403,113,84,92,161
16-05-1403,122,81,96,126
17-05-1403,105,79,96,117
18-05-1403,101,79,92,99
19-05-1403,140,98,93,105
20-05-1403,148,105,99,102
21-05-1403,131,78,130,104
22-05-1403,126,82,95,115
23-05-1403,111,105,76,105
24-05-1403,128,105,61,83
25-05-1403,129,93,73,71
26-05-1403,128,144,105,102
27-05-1403,101,120,112,117
28-05-1403,108,180,125,132
29-05-1403,111,72,152,140
30-05-1403,102,82,115,159
31-05-1403,101,89,99,173
01-06-1403,82,71,138,177
02-06-1403,89,75,136,135
03-06-1403,102,78,148,134
04-06-1403,78,87,151,125
05-06-1403,83,83,159,116
06-06-1403,87,88,94,134
07-06-1403,106,89,79,109
08-06-1403,98,78,88,106
09-06-1403,85,62,76,87
10-06-1403,78,64,101,99
11-06-1403,82,83,121,117
12-06-1403,85,87,99,107
13-06-1403,92,78,95,128
14-06-1403,98,125,128,126
15-06-1403,101,99,154,138
16-06-1403,98,90,84,108
17-06-1403,112,92,81,108
18-06-1403,99,71,89,117
19-06-1403,94,74,128,108
20-06-1403,103,63,88,107
21-06-1403,94,67,83,123
22-06-1403,96,81,63,113
23-06-1403,87,76,65,119
24-06-1403,136,72,90,109
25-06-1403,101,75,115,128
26-06-1403,72,83,118,117
27-06-1403,79,89,99,112
28-06-1403,89,93,105,109
29-06-1403,90,87,74,133
30-06-1403,83,92,82,87
31-06-1403,84,91,82,62
01-07-1403,82,86,80,69
02-07-1403,85,82,123,101
03-07-1403,89,95,93,98
04-07-1403,94,107,69,95
05-07-1403,117,130,112,121
06-07-1403,84,98,83,159
07-07-1403,61,55,114,153
08-07-1403,64,82,111,92
09-07-1403,93,178,127,142
10-07-1403,95,135,117,110
11-07-1403,104,137,199,101
12-07-1403,95,137,168,104
13-07-1403,81,127,62,63
14-07-1403,71,100,74,77
15-07-1403,74,90,98,192
16-07-1403,82,72,150,190
17-07-1403,97,108,146,184
18-07-1403,116,123,154,156
19-07-1403,90,121,151,147
20-07-1403,97,132,150,170
21-07-1403,89,108,150,160
22-07-1403,92,98,161,89
23-07-1403,108,86,167,124
24-07-1403,116,92,146,102
25-07-1403,113,94,148,113
26-07-1403,119,104,157,130
27-07-1403,101,98,148,92
28-07-1403,88,131,142,101
29-07-1403,73,136,108,99
30-07-1403,77,107,97,86